,context,Question,text
1,"Welcome to the Excel Corporate Charity Event. If you tell me your full name and the company you are affiliated with, I can let you know which seat you have been assigned to.
My name is Prema Khan, and I'm representing my investment firm., Mumbai International. But before I find my seat, is there a place where I can hang my coat? I'd rather not keep it with me all night.
First, let me lead you to your table. Then, I would be happy to check your coat for you.",Who is the Prema Khan?,"representing my investment firm., Mumbai International"
,"Welcome to the Excel Corporate Charity Event. If you tell me your full name and the company you are affiliated with, I can let you know which seat you have been assigned to.
My name is Prema Khan, and I'm representing my investment firm., Mumbai International. But before I find my seat, is there a place where I can hang my coat? I'd rather not keep it with me all night.
First, let me lead you to your table. Then, I would be happy to check your coat for you.",What is the full name of the person representing one's investment firm?,Prema Khan
,"Welcome to the Excel Corporate Charity Event. If you tell me your full name and the company you are affiliated with, I can let you know which seat you have been assigned to.
My name is Prema Khan, and I'm representing my investment firm., Mumbai International. But before I find my seat, is there a place where I can hang my coat? I'd rather not keep it with me all night.
First, let me lead you to your table. Then, I would be happy to check your coat for you.",What is the name of the event mainly discussed?,the Excel Corporate Charity Event
,"Welcome to the Excel Corporate Charity Event. If you tell me your full name and the company you are affiliated with, I can let you know which seat you have been assigned to.
My name is Prema Khan, and I'm representing my investment firm., Mumbai International. But before I find my seat, is there a place where I can hang my coat? I'd rather not keep it with me all night.
First, let me lead you to your table. Then, I would be happy to check your coat for you.",What will they do next?,"let me lead you to your table. Then, I would be happy to check your coat for you."
,"Welcome to the Excel Corporate Charity Event. If you tell me your full name and the company you are affiliated with, I can let you know which seat you have been assigned to.
My name is Prema Khan, and I'm representing my investment firm., Mumbai International. But before I find my seat, is there a place where I can hang my coat? I'd rather not keep it with me all night.
First, let me lead you to your table. Then, I would be happy to check your coat for you.",When does the Charity Event start?,
2,"Hey, Mark and Floyd. Did you guys see the memo about the upcoming changes to the travel expense policy?
Yes, Samantha. I'm glad the company has decided to increase the amount that employees will be reimbursed for transportation to $5,000 per trip.
That'll really help when booking flights for business trips.
Don't you think it's a bit high? On my last business trip, I didn't spend more than $5,000 per trip. I didn't spend more than $1,600 for all my travel expenses.
Sure... but your team members don't have to travel internationally
Exactly. Members of the technology team, like Floyd and I, go abroad frequently to complete projects.
Oh, right. I forgot that your department is putting in the computer system for on of our international partners' new headquarters.",What is the Purpose of the meeting?,the upcoming changes to the travel expense policy
,"Hey, Mark and Floyd. Did you guys see the memo about the upcoming changes to the travel expense policy?
Yes, Samantha. I'm glad the company has decided to increase the amount that employees will be reimbursed for transportation to $5,000 per trip.
That'll really help when booking flights for business trips.
Don't you think it's a bit high? On my last business trip, I didn't spend more than $5,000 per trip. I didn't spend more than $1,600 for all my travel expenses.
Sure... but your team members don't have to travel internationally
Exactly. Members of the technology team, like Floyd and I, go abroad frequently to complete projects.
Oh, right. I forgot that your department is putting in the computer system for on of our international partners' new headquarters.",How much has the company decided to increase for transportation to per trip?,"$5,000 "
,"Hey, Mark and Floyd. Did you guys see the memo about the upcoming changes to the travel expense policy?
Yes, Samantha. I'm glad the company has decided to increase the amount that employees will be reimbursed for transportation to $5,000 per trip.
That'll really help when booking flights for business trips.
Don't you think it's a bit high? On my last business trip, I didn't spend more than $5,000 per trip. I didn't spend more than $1,600 for all my travel expenses.
Sure... but your team members don't have to travel internationally
Exactly. Members of the technology team, like Floyd and I, go abroad frequently to complete projects.
Oh, right. I forgot that your department is putting in the computer system for on of our international partners' new headquarters.","What is the name of the person who didn't spend more than $1,600 for all travel expenses?",Samantha
,"Hey, Mark and Floyd. Did you guys see the memo about the upcoming changes to the travel expense policy?
Yes, Samantha. I'm glad the company has decided to increase the amount that employees will be reimbursed for transportation to $5,000 per trip.
That'll really help when booking flights for business trips.
Don't you think it's a bit high? On my last business trip, I didn't spend more than $5,000 per trip. I didn't spend more than $1,600 for all my travel expenses.
Sure... but your team members don't have to travel internationally
Exactly. Members of the technology team, like Floyd and I, go abroad frequently to complete projects.
Oh, right. I forgot that your department is putting in the computer system for on of our international partners' new headquarters.",What is the department name Mark and Floyd belongs?,the technology team
,"Hey, Mark and Floyd. Did you guys see the memo about the upcoming changes to the travel expense policy?
Yes, Samantha. I'm glad the company has decided to increase the amount that employees will be reimbursed for transportation to $5,000 per trip.
That'll really help when booking flights for business trips.
Don't you think it's a bit high? On my last business trip, I didn't spend more than $5,000 per trip. I didn't spend more than $1,600 for all my travel expenses.
Sure... but your team members don't have to travel internationally
Exactly. Members of the technology team, like Floyd and I, go abroad frequently to complete projects.
Oh, right. I forgot that your department is putting in the computer system for on of our international partners' new headquarters.",Why dose Mark and Floyd go abroad frequently?,to complete projects
3,"Ms. Ellison, is it possible for us to get new computer monitors for the office? The graphic designers say the resolution quality of our current computer screens is rather poor. It seems to negatively impact their work.
I've been meaning to do that for quite a while. We couldn't afford to upgrade in the past, but we have enough funds this month. I'll ask the office manager to order high-resolution monitors for all our designers.
They will certainly appreciate that. And if you're unsure about which models to get, I can ask the staff for their opinions on the matter.",What does the graphic designer say?,the resolution quality of our current computer screens is rather poor
,"Ms. Ellison, is it possible for us to get new computer monitors for the office? The graphic designers say the resolution quality of our current computer screens is rather poor. It seems to negatively impact their work.
I've been meaning to do that for quite a while. We couldn't afford to upgrade in the past, but we have enough funds this month. I'll ask the office manager to order high-resolution monitors for all our designers.
They will certainly appreciate that. And if you're unsure about which models to get, I can ask the staff for their opinions on the matter.",Why can they upgrade their computer monitor?,have enough funds this month.
,"Ms. Ellison, is it possible for us to get new computer monitors for the office? The graphic designers say the resolution quality of our current computer screens is rather poor. It seems to negatively impact their work.
I've been meaning to do that for quite a while. We couldn't afford to upgrade in the past, but we have enough funds this month. I'll ask the office manager to order high-resolution monitors for all our designers.
They will certainly appreciate that. And if you're unsure about which models to get, I can ask the staff for their opinions on the matter.",What will the office manager be asked to?,to order high-resolution monitors for all our designers
,"Ms. Ellison, is it possible for us to get new computer monitors for the office? The graphic designers say the resolution quality of our current computer screens is rather poor. It seems to negatively impact their work.
I've been meaning to do that for quite a while. We couldn't afford to upgrade in the past, but we have enough funds this month. I'll ask the office manager to order high-resolution monitors for all our designers.
They will certainly appreciate that. And if you're unsure about which models to get, I can ask the staff for their opinions on the matter.",What is the name of office manager?,
,"Ms. Ellison, is it possible for us to get new computer monitors for the office? The graphic designers say the resolution quality of our current computer screens is rather poor. It seems to negatively impact their work.
I've been meaning to do that for quite a while. We couldn't afford to upgrade in the past, but we have enough funds this month. I'll ask the office manager to order high-resolution monitors for all our designers.
They will certainly appreciate that. And if you're unsure about which models to get, I can ask the staff for their opinions on the matter.",How can they do if unsure about which models to get?,ask the staff for their opinions on the matter.
